id,translation,generator
1SG,mimi,
come,ja,
help,saidia,
person,mtu,
star,nyota,
2OBJ,wewe,
ocean,bahari,
wave,wimbi,
rain,mvua,
storm,dhoruba,
squall,npepo,
strike,piga,
hull,ngao,
starship,chombonyota,
engine,kisukumio,
space,anga,
we,sisi,
see,ona,
survive,vuka,
ancestor,mudzimu,
stone,jiwe,
thief,mwizi,
lie,urongo,
house,imba,
great,huru,
ghost,mzuka,
north,kaskazini,
hand,mkono,
indigenous,asili,
bloodline,damu,
engineering,ndzira,
sovereignty,mbengo,
build,jenga,
century,karne,
european,mupambi,
exploiter,mupambi,
outsider,mubvakure,
dictate,amrisha,
ruin,jigongo,
subjugation,utumwa,
citizen,mushandi,
resurrect,fufua,
truth,ukweli,
ship,chombo,
monument,jikumbusho,
carve,chonga,
granite,mwamba,
empire,ufalme,
endure,dumu,
take,daka,
atmosphere,hewa,
law,sheria,
state,taifa,
enter,ingia,
trade,biashara,
orbital,juu,
bazaar,soko,
violation,kosa,
pilot,mutyairi,
result,leta,
revocation,futo,
lockdown,uzororo,
jurisdiction,mamlaka,
tribute,kuruva,
adjudicator,mupanda,
tariff,mbizi,
trajectory,ruhanda,
this,hii,
shona,shona,
mwene,mwene,
mutapa,mutapa,
solar,solar,
sika,sika,
kisangani,kisangani,
altair,altair,
KFN,KFN,
habitat,musha,
judge,mutongi,
station,chiteshi,
deepspace,denga,
of_ma,a,
of_u,wa,
of_n,dza,
water,maji,
weigh,pima,
energy,nguvu,
life,maisha,
here,hapa,
free,huru,
mine,chimba,
return,dzoka,
belong,miliki,
request,omba,
pay,lipa,
wealth,utajiri,
or,au,
float,elea,
exceed,zidi,
hectare,hekta,
limit,kikomo,
in,ndani,
ili,ili,
on,juu,
share,gawa,
meter,mita,
thirty,thelathini,
quarter,robo,
ten,kumi,
of_ki,cha,
of_i,ya,
field,munda,
kelp,mwani,
under,chini,
harvest,vuna,
generate,umba,
feed,lisa,
hang,tungika,
mimic,iga,
roots,mizizi,
mangrove,mikoko,
calm,tulivu,
farmer,murimi,
sail,famba,
mtumbwi_pl,mitumbwi,
forest,msitu,
academy,chikoro,
teach,dzidzisa,
student,mudzidzi,
history,nhaka,
learn,dzidza,
language,mutauro,
reject,ramba,
education,dzidzo,
bomb,ndozva,
culture,tsika,
protect,dzivirira,
mind,pfungwa,
is,ndi,
medium,svikiro,
human,munhu,
interpret,dudzira,
archive,dura,
guide,tungamira,
wisdom,njere,
state,nyika,
currency,mombe,
with,na,
healer,nanga,
heal,rapa,
interconnectedness,unhu,
creator,mwari,
nature,chisikwa,
greed,makaro,
modify,gadzirisa,
worker,mushandi,
